date,flow_rate,vibration,gen_temp,voltage,current,power_kw,rpm,anomaly_label
2026-05-01 08:00:00.000,0.5483,2.764,57.83,221.4,179.05,39.643,741.2,normal
2026-05-01 08:00:00.100,0.5473,2.8831,57.67,220.23,179.82,39.603,754.3,normal
2026-05-01 08:00:00.200,0.5511,2.9642,56.89,217.97,181.1,39.475,755.8,normal
2026-05-01 08:00:00.300,0.5489,2.8104,58.8,217.09,178.72,38.798,751.3,normal
2026-05-01 08:00:00.400,0.5476,3.0184,58.56,220.5,181.56,40.033,743.0,normal
2026-05-01 08:00:00.500,0.5349,2.9421,54.07,218.79,172.3,37.696,750.7,normal
2026-05-01 08:00:00.600,0.5378,2.9661,59.27,218.0,175.75,38.313,745.3,normal
2026-05-01 08:00:00.700,0.5582,2.8286,58.96,220.7,184.63,40.748,752.9,normal
2026-05-01 08:00:00.800,0.5428,2.6433,57.3,221.0,176.9,39.095,759.4,normal
2026-05-01 08:00:00.900,0.539,2.5952,59.15,222.84,177.92,39.649,751.2,normal
2026-05-01 08:00:01.000,0.5491,3.1566,55.87,218.94,182.55,39.967,741.6,normal
2026-05-01 08:00:01.100,0.5525,2.8084,57.53,221.45,182.57,40.43,761.1,normal
2026-05-01 08:00:01.200,0.5439,2.955,57.16,218.34,180.86,39.489,745.1,normal
2026-05-01 08:00:01.300,0.5575,2.7824,56.91,219.41,176.93,38.82,744.9,normal
2026-05-01 08:00:01.400,0.5542,2.6581,59.79,219.96,182.15,40.065,750.6,normal
2026-05-01 08:00:01.500,0.5589,3.0712,58.41,217.98,185.63,40.464,752.5,normal
2026-05-01 08:00:01.600,0.5497,3.1067,60.93,219.28,184.68,40.497,749.5,normal
2026-05-01 08:00:01.700,0.5387,2.6709,57.77,222.85,178.76,39.835,750.4,normal
2026-05-01 08:00:01.800,0.5571,2.206,58.83,218.9,180.45,39.5,750.3,normal
2026-05-01 08:00:01.900,0.5395,3.2312,57.36,222.72,175.21,39.023,745.3,normal
2026-05-01 08:00:02.000,0.5376,2.8244,58.33,217.58,178.59,38.859,746.8,normal
2026-05-01 08:00:02.100,0.5528,3.3709,60.05,217.39,180.55,39.251,751.1,normal
2026-05-01 08:00:02.200,0.5332,3.2364,59.49,221.18,179.1,39.614,749.5,normal
2026-05-01 08:00:02.300,0.5448,2.813,56.13,220.39,177.72,39.168,758.2,normal
2026-05-01 08:00:02.400,0.5532,2.6472,55.65,219.21,181.83,39.859,753.7,normal
2026-05-01 08:00:02.500,0.5496,3.162,56.32,220.92,181.41,40.076,751.4,normal
2026-05-01 08:00:02.600,0.5613,2.6249,58.13,221.4,187.53,41.52,754.1,normal
2026-05-01 08:00:02.700,0.5715,2.8716,58.37,219.41,187.38,41.113,760.3,normal
2026-05-01 08:00:02.800,0.5552,2.8297,59.79,218.97,176.52,38.654,751.4,normal
2026-05-01 08:00:02.900,0.5439,2.8574,59.31,221.22,175.03,38.719,750.5,normal
2026-05-01 08:00:03.000,0.5352,2.751,58.68,219.91,172.91,38.025,748.9,normal
2026-05-01 08:00:03.100,0.5442,2.922,58.6,222.03,175.97,39.071,749.9,normal
2026-05-01 08:00:03.200,0.5727,2.8007,55.21,221.39,186.5,41.289,752.6,normal
2026-05-01 08:00:03.300,0.5499,3.2754,61.36,219.12,181.03,39.665,746.5,normal
2026-05-01 08:00:03.400,0.5506,2.6273,57.58,220.4,173.89,38.326,759.1,normal
2026-05-01 08:00:03.500,0.5674,2.7583,56.49,220.59,195.2,43.058,747.8,normal
2026-05-01 08:00:03.600,0.5445,2.4262,58.71,221.39,182.08,40.311,746.7,normal
2026-05-01 08:00:03.700,0.5457,2.3994,59.86,220.93,172.71,38.156,748.0,normal
2026-05-01 08:00:03.800,0.5713,3.1495,58.84,220.62,183.24,40.426,748.6,normal
2026-05-01 08:00:03.900,0.555,2.8117,58.87,219.04,178.19,39.032,746.0,normal
2026-05-01 08:00:04.000,0.5564,2.5108,54.53,219.33,183.46,40.238,757.8,normal
2026-05-01 08:00:04.100,0.56,2.8178,57.4,218.51,181.26,39.606,758.4,normal
2026-05-01 08:00:04.200,0.5549,3.0486,63.0,219.94,183.46,40.349,751.4,normal
2026-05-01 08:00:04.300,0.5732,2.7445,60.26,217.2,186.38,40.483,755.3,normal
2026-05-01 08:00:04.400,0.5365,2.9958,54.62,216.19,175.38,37.914,746.1,normal
