date,flow_rate,vibration,gen_temp,voltage,current,power_kw,head_pressure,rpm,anomaly_label
2026-05-01T08:00:00.000,0.699,2.76,60.6,223.3,228.3,50.98,1.509,768.5,normal
2026-05-01T08:00:00.100,0.697,2.75,60.8,222.6,231.1,51.44,1.552,767.9,normal
2026-05-01T08:00:00.200,0.693,2.55,60.9,224.1,226.8,50.82,1.533,768.2,normal
2026-05-01T08:00:00.300,0.685,2.72,61.1,223.3,223.7,49.97,1.539,766.8,normal
2026-05-01T08:00:00.400,0.708,2.52,61.6,220.1,225.1,49.54,1.533,767.1,normal
2026-05-01T08:00:00.500,0.709,2.97,59.4,223.7,229.5,51.32,1.544,768.5,normal
2026-05-01T08:00:00.600,0.701,3.0,61.5,222.8,231.1,51.49,1.55,766.9,normal
2026-05-01T08:00:00.700,0.693,2.68,61.2,221.8,232.6,51.58,1.519,764.9,normal
2026-05-01T08:00:00.800,0.708,3.16,61.5,223.6,235.2,52.59,1.543,766.1,normal
2026-05-01T08:00:00.900,0.695,3.04,58.9,222.2,228.0,50.66,1.53,768.8,normal
2026-05-01T08:00:01.000,0.706,3.38,61.6,221.4,229.6,50.84,1.527,770.6,normal
2026-05-01T08:00:01.100,0.694,2.78,61.5,221.1,226.5,50.08,1.5,765.2,normal
2026-05-01T08:00:01.200,0.694,2.9,62.1,222.1,227.9,50.62,1.54,769.5,normal
2026-05-01T08:00:01.300,0.709,2.87,59.7,223.7,233.0,52.12,1.57,769.0,normal
2026-05-01T08:00:01.400,0.72,2.71,63.0,222.7,234.2,52.16,1.529,770.0,normal
2026-05-01T08:00:01.500,0.714,3.0,61.8,218.9,235.5,51.56,1.56,768.6,normal
2026-05-01T08:00:01.600,0.694,2.8,62.7,220.6,226.0,49.84,1.563,766.4,normal
2026-05-01T08:00:01.700,0.696,2.82,59.2,222.5,224.9,50.04,1.556,767.6,normal
2026-05-01T08:00:01.800,0.723,2.87,62.8,220.6,236.3,52.13,1.56,774.2,normal
2026-05-01T08:00:01.900,0.683,3.05,61.1,224.3,225.4,50.55,1.531,764.9,normal
2026-05-01T08:00:02.000,0.688,2.85,60.3,225.1,223.5,50.3,1.539,763.4,normal
2026-05-01T08:00:02.100,0.696,2.87,61.6,224.4,227.7,51.08,1.515,768.4,normal
2026-05-01T08:00:02.200,0.705,2.92,60.0,224.0,231.0,51.75,1.557,771.2,normal
2026-05-01T08:00:02.300,0.706,2.87,63.4,222.7,230.3,51.3,1.546,771.7,normal
2026-05-01T08:00:02.400,0.701,2.93,62.2,221.5,225.2,49.87,1.547,768.6,normal
2026-05-01T08:00:02.500,0.694,3.02,61.3,220.7,228.4,50.4,1.532,764.3,normal
